City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Paamiut,GL,2022-02-05 21:37:16,61.994,-49.6678,-4.04,86,77,10.51
68,Teeli,RU,2022-02-05 21:38:07,51.0333,90.2333,-18.06,85,9,0.76
69,Zhezkazgan,KZ,2022-02-05 21:38:08,47.8043,67.7144,12.54,82,99,15.3
70,Lazaro Cardenas,MX,2022-02-05 21:38:08,17.9583,-102.2,81.21,58,0,9.33
71,Bud,US,2022-02-05 21:38:09,39.447,-86.1758,25.18,69,8,4.38
72,Hay River,CA,2022-02-05 21:36:03,60.8156,-115.7999,-4.02,59,75,2.3
73,Santo Domingo,DO,2022-02-05 21:37:19,18.5001,-69.9886,80.24,78,40,9.22
74,Pisco,PE,2022-02-05 21:38:10,-13.7,-76.2167,72.01,83,0,9.22
75,New Ipswich,US,2022-02-05 21:38:10,42.7481,-71.8542,20.37,71,0,3.0
76,Yellowknife,CA,2022-02-05 21:37:50,62.456,-114.3525,-7.58,85,75,6.91
77,Jamestown,US,2022-02-05 21:35:51,42.097,-79.2353,22.32,49,75,9.22
78,Udachnyy,RU,2022-02-05 21:38:11,66.4167,112.4,-32.17,100,91,2.68
79,Kushiro,JP,2022-02-05 21:38:11,42.975,144.3747,17.69,75,89,5.35
80,Saint-Philippe,RE,2022-02-05 21:38:12,-21.3585,55.7679,80.19,84,100,19.01
81,Hobart,AU,2022-02-05 21:37:23,-42.8794,147.3294,61.11,79,75,5.75
82,Hambantota,LK,2022-02-05 21:38:12,6.1241,81.1185,73.74,100,59,8.05
83,Chokurdakh,RU,2022-02-05 21:38:13,70.6333,147.9167,-31.27,100,100,1.68
84,Aksarka,RU,2022-02-05 21:38:13,66.5606,67.7975,-20.25,100,64,3.56
85,Atuona,PF,2022-02-05 21:38:13,-9.8,-139.0333,79.03,77,6,22.24
86,Micheweni,TZ,2022-02-05 21:38:14,-4.9667,39.8333,79.84,81,100,5.53
87,Zhangjiakou,CN,2022-02-05 21:38:14,40.81,114.8794,10.02,69,2,4.85
88,Hami,CN,2022-02-05 21:38:15,42.8,93.45,26.37,28,100,8.99
89,New Norfolk,AU,2022-02-05 21:38:15,-42.7826,147.0587,60.75,66,96,2.42
90,Qaanaaq,GL,2022-02-05 21:36:18,77.484,-69.3632,1.17,97,100,2.62
91,Ribeira Grande,PT,2022-02-05 21:39:16,38.5167,-28.7,61.2,77,40,17.27
92,Tara,RU,2022-02-05 21:39:16,56.8944,74.371,10.92,87,100,6.17
93,Te Anau,NZ,2022-02-05 21:39:17,-45.4167,167.7167,56.73,56,13,4.05
94,Broome,US,2022-02-05 21:39:17,42.2506,-75.833,16.56,69,0,5.99
95,Hovd,MN,2022-02-05 21:39:17,48.0056,91.6419,-13.43,78,21,4.09
96,Guangyuan,CN,2022-02-05 21:36:58,32.442,105.823,37.49,97,100,4.34
97,Port Alfred,ZA,2022-02-05 21:39:18,-33.5906,26.891,70.68,83,87,26.22
98,Horn,DE,2022-02-05 21:39:19,51.8715,8.9451,42.33,84,100,22.7
99,Alcochete,PT,2022-02-05 21:39:19,38.7553,-8.9609,55.58,73,0,6.91
100,Zhigansk,RU,2022-02-05 21:39:20,66.7697,123.3711,-26.63,98,100,5.95
101,Laurel,US,2022-02-05 21:35:34,39.0993,-76.8483,33.73,48,0,4.0
102,Georgetown,MY,2022-02-05 21:36:26,5.4112,100.3354,79.9,89,20,1.99
103,Pacific Grove,US,2022-02-05 21:39:21,36.6177,-121.9166,68.58,48,0,3.0
104,Port Hardy,CA,2022-02-05 21:39:21,50.6996,-127.4199,46.58,76,75,6.91
105,Boundiali,CI,2022-02-05 21:39:22,9.5217,-6.4869,76.17,14,39,3.44
106,Avarua,CK,2022-02-05 21:35:50,-21.2078,-159.775,82.45,78,40,17.27
107,Kaitangata,NZ,2022-02-05 21:39:22,-46.2817,169.8464,54.93,66,95,5.86
108,Palmer,US,2022-02-05 21:39:23,42.1584,-72.3287,23.61,57,20,1.01
109,Cay,TR,2022-02-05 21:39:23,38.5917,31.0286,27.32,65,2,2.13
110,Albertville,US,2022-02-05 21:39:23,34.2676,-86.2089,41.85,44,0,1.99
111,Saldanha,ZA,2022-02-05 21:39:24,-33.0117,17.9442,75.25,75,34,4.14
112,Codrington,AU,2022-02-05 21:39:24,-38.2667,141.9667,63.64,66,52,11.77
113,Port Blair,IN,2022-02-05 21:39:25,11.6667,92.75,78.84,89,69,2.3
114,Torbay,CA,2022-02-05 21:39:25,47.6666,-52.7314,50.77,94,100,20.71
115,Srandakan,ID,2022-02-05 21:39:25,-7.9386,110.2506,61.74,85,74,2.42
116,Chicama,PE,2022-02-05 21:39:26,-7.8447,-79.1469,64.94,63,11,10.27
117,Fort Nelson,CA,2022-02-05 21:39:26,58.8053,-122.7002,0.99,71,75,3.44
118,Lima,PE,2022-02-05 21:34:35,-12.0432,-77.0282,75.45,83,0,1.99
119,Prince Rupert,CA,2022-02-05 21:39:27,54.3161,-130.3201,44.69,70,0,16.11
120,Beloha,MG,2022-02-05 21:39:27,-25.1667,45.05,75.31,83,100,19.13
121,Guasdualito,VE,2022-02-05 21:39:28,7.2424,-70.7324,89.56,43,40,3.44
122,Cabo San Lucas,MX,2022-02-05 21:35:41,22.8909,-109.9124,75.51,63,20,1.99
123,Sur,OM,2022-02-05 21:39:28,22.5667,59.5289,71.01,54,0,6.8
124,Mingoyo,TZ,2022-02-05 21:39:29,-10.1,39.6333,75.58,76,100,3.24
125,Tiksi,RU,2022-02-05 21:39:29,71.6872,128.8694,-22.47,98,91,7.61
126,Shingu,JP,2022-02-05 21:39:30,33.7333,135.9833,38.91,63,50,12.86
127,Fortuna,US,2022-02-05 21:39:30,40.5982,-124.1573,59.94,66,0,3.0
128,Kashi,CN,2022-02-05 21:39:31,39.4547,75.9797,27.27,74,75,4.47
129,Matara,LK,2022-02-05 21:39:31,5.9485,80.5353,72.68,91,50,7.43
130,Harper,LR,2022-02-05 21:39:31,4.375,-7.7169,79.83,84,17,9.4
131,Cherskiy,RU,2022-02-05 21:39:32,68.75,161.3,-32.85,97,17,1.52
132,Odweyne,SO,2022-02-05 21:39:33,9.4092,45.064,65.75,19,90,9.91
133,Oussouye,SN,2022-02-05 21:39:34,12.485,-16.5469,80.78,60,1,6.15
134,Gizo,SB,2022-02-05 21:40:34,-8.103,156.8419,84.49,74,92,9.15
135,Mahebourg,MU,2022-02-05 21:40:35,-20.4081,57.7,79.25,89,40,12.66
136,Itarema,BR,2022-02-05 21:40:35,-2.9248,-39.9167,79.5,77,11,10.87
137,Cap Malheureux,MU,2022-02-05 21:40:35,-19.9842,57.6142,79.47,79,100,8.01
138,Illela,NG,2022-02-05 21:40:36,13.7292,5.2975,67.42,14,0,11.59
139,Alekseyevsk,RU,2022-02-05 21:40:36,57.8406,108.3492,17.89,94,100,10.38
140,Kenai,US,2022-02-05 21:40:37,60.5544,-151.2583,31.03,93,100,10.36
141,Rabo De Peixe,PT,2022-02-05 21:40:37,37.8,-25.5833,59.27,86,40,12.66
142,Benton Harbor,US,2022-02-05 21:39:12,42.1167,-86.4542,25.48,63,100,10.36
143,Bethel,US,2022-02-05 21:38:04,41.3712,-73.414,26.04,73,5,1.99
144,Muros,ES,2022-02-05 21:40:38,42.7762,-9.0603,51.24,72,0,11.81
145,Kalga,RU,2022-02-05 21:40:38,50.9251,118.898,-7.78,92,100,5.44
146,Lebu,CL,2022-02-05 21:40:39,-37.6167,-73.65,62.2,75,1,20.09
147,Namtsy,RU,2022-02-05 21:40:39,62.7161,129.6658,-25.49,100,100,1.74
148,Evensk,RU,2022-02-05 21:40:40,61.95,159.2333,16.97,41,10,25.72
149,Port-Gentil,GA,2022-02-05 21:40:40,-0.7193,8.7815,80.56,83,40,6.91
150,Chengzihe,CN,2022-02-05 21:40:41,45.3333,131.0667,-10.79,95,32,5.66
151,Wad Madani,SD,2022-02-05 21:40:41,14.4012,33.5199,65.64,14,4,14.79
152,Ostrovnoy,RU,2022-02-05 21:40:42,68.0531,39.5131,16.07,83,100,30.82
153,Ginda,IN,2022-02-05 21:38:04,30.6945,78.4932,36.59,38,29,6.55
154,Paoua,CF,2022-02-05 21:40:42,7.2427,16.4406,69.75,20,83,4.99
155,Bari,IT,2022-02-05 21:40:43,41.1177,16.8512,53.85,90,40,3.0
156,Santa Maria Del Oro,MX,2022-02-05 21:40:43,25.9333,-105.3667,65.86,19,14,8.3
157,Bambous Virieux,MU,2022-02-05 21:40:44,-20.3428,57.7575,79.21,89,40,12.66
158,Searcy,US,2022-02-05 21:40:44,35.2506,-91.7363,43.52,55,6,3.74
159,Bambanglipuro,ID,2022-02-05 21:40:45,-7.95,110.2833,61.61,85,76,2.42
160,Tecpan,GT,2022-02-05 21:40:45,14.7623,-90.9947,65.16,64,72,6.55
161,Sorland,NO,2022-02-05 21:40:46,67.667,12.6934,39.47,71,98,26.11
