City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
263,Kavieng,PG,80.91,light rain,-2.5744,150.7967,Nusa Island Retreat
270,Touros,BR,86.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
273,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
274,Acarau,BR,83.14,clear sky,-2.8856,-40.12,castelo pizzaria
275,Yulara,AU,76.82,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
283,Teahupoo,PF,80.53,overcast clouds,-17.8333,-149.2667,Vanira Lodge
287,Lota,CL,76.46,clear sky,-37.0833,-73.1667,Apart Hotel Kuñul
290,Sambava,MG,75.58,light rain,-14.2667,50.1667,Melrose
292,Vigia,BR,78.85,broken clouds,-0.8583,-48.1417,Hotel Bom Jesus
293,Mayumba,GA,77.97,overcast clouds,-3.432,10.6554,LIKWALE LODGE
296,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
303,Soeng Sang,TH,83.52,few clouds,14.4264,102.4606,ปาณิสรา รีสอร์ท
305,Cairns,AU,75.15,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
310,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
312,Cabo San Lucas,MX,83.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
313,Santa Maria,BR,85.3,clear sky,-29.6842,-53.8069,Hotel Morotin
315,Noumea,NC,82.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
316,Saint-Joseph,RE,75.58,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
319,Manaus,BR,77.49,thunderstorm with light rain,-3.1019,-60.025,Manaus Hotéis Millennium
320,Minas Novas,BR,75.45,overcast clouds,-17.2186,-42.5903,J K Palace Hotel
322,Monte Alegre,BR,84.42,light rain,-2.0078,-54.0692,Hotel Shekinah
323,Garissa,KE,82.94,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
324,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
328,Kralendijk,BQ,82.38,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
331,Metro,ID,75.06,light rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
337,Ugoofaaru,MV,81.97,overcast clouds,5.6667,73.0,Ungoofaaru Inn
351,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
352,Kisangani,CD,75.29,scattered clouds,0.5167,25.2,Grand Ramela Hotel
353,Hobyo,SO,76.64,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
365,Auki,SB,79.9,moderate rain,-8.7676,160.7034,Auki Motel
368,Daru,PG,77.92,overcast clouds,-9.0763,143.2092,Daru Lodge
371,Engenheiro Beltrao,BR,83.03,clear sky,-23.7972,-52.2692,Hotel Vitória Régia
