City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Malindi,KE,-3.2175,40.1191,77.34,86,12,13.0,few clouds
79,Tuktoyaktuk,CA,69.4541,-133.0374,-37.82,100,56,4.72,broken clouds
80,Esperance,AU,-33.8667,121.9,60.75,70,20,5.64,few clouds
81,Talnakh,RU,69.4865,88.3972,-8.41,96,100,11.18,overcast clouds
82,Emerald,AU,-23.5333,148.1667,68.34,77,99,7.63,overcast clouds
83,Cayenne,GF,4.9333,-52.3333,83.08,80,20,3.0,few clouds
84,Jaisalmer,IN,26.9147,70.9181,63.27,48,22,11.54,few clouds
85,Moirang,IN,24.5,93.7667,45.23,91,4,0.63,clear sky
86,Matagami,CA,49.7502,-77.6328,23.11,86,100,4.61,light snow
87,Taoudenni,ML,22.6783,-3.9836,72.82,10,0,12.19,clear sky
88,Hami,CN,42.8,93.45,24.89,40,0,4.54,clear sky
89,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,94,75,13.8,mist
90,Albany,US,42.6001,-73.9662,37.58,66,78,5.01,broken clouds
91,Gannan,CN,47.9147,123.5031,0.37,100,65,1.88,broken clouds
92,Krasnaya Gorbatka,RU,55.8703,41.7641,32.18,99,100,5.3,light snow
93,Longyearbyen,SJ,78.2186,15.6401,7.29,96,100,2.8,overcast clouds
94,Saint George,US,37.1041,-113.5841,66.67,23,0,3.44,clear sky
95,Chapais,CA,49.7834,-74.8492,22.78,85,100,6.49,overcast clouds
96,Chuy,UY,-33.6971,-53.4616,72.55,56,10,11.88,clear sky
97,Malakal,SS,9.5334,31.6605,80.15,21,14,5.32,few clouds
98,Barrow,US,71.2906,-156.7887,-30.98,100,0,8.05,haze
99,Neuquen,AR,-38.9516,-68.0591,94.08,10,39,7.81,scattered clouds
100,Pevek,RU,69.7008,170.3133,-32.17,100,49,5.26,scattered clouds
101,Cockburn Town,TC,21.4612,-71.1419,77.86,76,0,17.56,clear sky
102,La Tuque,CA,47.4334,-72.7824,30.31,94,100,3.6,light snow
103,Boden,SE,65.8252,21.6886,20.95,99,100,2.13,overcast clouds
104,Flinders,AU,-34.5833,150.8552,62.2,88,1,5.99,clear sky
105,Selfoss,IS,63.9331,-20.9971,30.49,94,100,6.38,snow
106,Viedma,AR,-40.8135,-62.9967,88.27,24,98,5.28,overcast clouds
107,Camacha,PT,33.0833,-16.3333,64.53,82,0,11.5,clear sky
108,Sungaipenuh,ID,-2.0833,101.3833,64.63,91,100,1.12,overcast clouds
109,San Matias,BO,-16.3667,-58.4,83.14,76,94,0.85,moderate rain
110,Porto Novo,BJ,6.4965,2.6036,84.02,82,96,8.16,overcast clouds
111,Lerwick,GB,60.1545,-1.1494,42.8,79,100,33.98,overcast clouds
112,Assiniboia,CA,49.6334,-105.9845,37.31,75,100,20.71,overcast clouds
113,Iralaya,HN,15.0,-83.2333,81.0,60,13,11.97,few clouds
114,Axim,GH,4.8699,-2.2405,79.14,85,30,9.04,scattered clouds
115,Constitucion,CL,-35.3333,-72.4167,72.82,58,14,19.77,few clouds
116,Mar Del Plata,AR,-38.0023,-57.5575,69.82,79,0,13.8,clear sky
117,Sitka,US,57.0531,-135.33,42.19,98,100,12.01,moderate rain
118,Pathein,MM,16.7833,94.7333,63.9,69,61,6.15,broken clouds
119,Bethel,US,41.3712,-73.414,40.93,78,70,3.0,broken clouds
120,Bardsir,IR,29.9227,56.5743,39.07,33,0,3.13,clear sky
121,Butaritari,KI,3.0707,172.7902,81.63,77,85,14.18,overcast clouds
122,Calatayud,ES,41.3535,-1.6432,48.78,63,4,1.14,clear sky
123,Aripuana,BR,-9.1667,-60.6333,74.1,97,100,0.43,light rain
